,Graphlet ID0,,,,Graphlet ID1,,,,Graphlet ID2,,,,Graphlet ID3,,,,Graphlet ID4,,,,Graphlet ID5,,
,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW
ia-email-univ,1133,5451,10**6,,,,,,,,,,,,,,,,,,,,
mixing- 13 step,0.00477682655949,0.00188190791448,0.0662107995369,,0.00451764566074,0.000775736559342,0.25491886927,,0.000675743193463,0.00628600497643,0.0690155813451,,0.000316045906142,0.00422170364042,0.244943316041,,0.00830637947584,0.000613779077267,0.355917555085,,0.0522200634239,0.0371863699092,0.0833448109075
mixing- 14 step,0.00155290727942,0.00179011103339,0.0635110226812,,0.000998437514407,0.00245206968624,0.259140161688,,0.00352988028869,0.00286887864508,0.0668546856568,,0.0560964568257,0.017222173815,0.185412616541,,0.00546045095659,0.0281969368872,0.380259398418,,0.103630363529,0.112927507794,0.4444583034
mixing- 15 step,0.000334361456608,0.00333480500021,0.0619605005934,,0.00453702383598,0.00113524224911,0.251202085354,,0.00127258143529,0.00246011754709,0.0630323908267,,0.0221385783221,0.0106296875195,0.319999628531,,0.00646732343169,0.0156688472672,0.39405248393,,0.0213711784027,0.0423666179161,0.661125387761
mixing- 16 step,0.00418652672681,0.000388948635532,0.0605073296892,,0.00347735222887,0.0020623318372,0.247291075887,,0.00420206896251,0.000218785621819,0.0605059970433,,0.0119958653213,0.0056203670152,0.309645380603,,0.0250696810877,0.00528489281903,0.411091295264,,0.0693539898972,0.026839374316,0.516678185168
mixing- 17 step,0.00359242111263,0.000867901988197,0.059167734341,,0.00336941277713,0.00103602603059,0.227662861806,,0.00099736238672,0.00695547391697,0.0513672357587,,0.0119105369254,0.033940299949,0.363996888112,,0.0148946258431,0.0079058406573,0.366460819385,,0.0883080869864,0.0663334464718,0.227785874473
mixing- 18 step,0.00227560888219,0.00098002917306,0.0580877360431,,0.00456609093844,0.000372882709785,0.226019538944,,0.000568809912871,0.00674855973862,0.0592412131568,,0.00764741105741,0.0055171192724,0.291525173667,,0.00501875078235,0.0169722296386,0.282881469738,,0.0951638182516,0.061154948136,0.0111167678439
mixing- 19 step,0.00459709345455,0.00156017162412,0.0572538134899,,0.0025889150155,0.00108589373727,0.224180732041,,0.000950045851689,3.09324362736E-05,0.0573461615275,,0.0148904465517,0.0172320018488,0.219053604165,,0.0107075576985,0.0106924412751,0.297486033364,,0.0677454722881,0.180208996448,0.155560864811
mixing- 20 step,0.000974122325061,0.000860960454516,0.0552679448757,,0.00152710963828,0.00228367325391,0.2064292764,,0.00381616569156,0.0021915605648,0.0536900348226,,0.00394506173512,0.0268674841702,0.231993493211,,0.00778532337894,0.0199144720748,0.338867926304,,0.00765645977765,0.104492333252,0.227782191057
,,,,,,,,,,,,,,,,,,,,,,,
misc-polblogs,1224,16718,10**6,,,,,,,,,,,,,,,,,,,,
expectation est.,39421331.941,40035286.9481,,,31007410.7209,31001689.3451,,,15898515.9404,15918539.0543,,,1163739.7905,1106347.67113,,,2820286.8935,2752189.43749,,,437290.747559,444333.09375,
variance est.,6.01538596391,8.14524090868,1.84219737299,,7.24555980353,6.37981369045,6.90922658118,,5.64010916491,7.95911446042,4.61450430992,,42.8273515259,28.0533588987,48.185804462,,11.5508819585,13.8340615917,15.7582060858,,40.8882295917,45.7473687783,86.8357068426
type count,,,,,,,,,,,,,,,,,,,,,,,
mixing- 1 step,0.0685953520995,0.0406282011921,0.329614260041,,0.0303408154589,0.0178697244735,1.34514809946,,0.0175495677782,0.000911859142851,0.643018036046,,0.0561981186154,0.0242733847419,4.2776144915,,0.119025107765,0.0409180076809,2.66844700524,,0.374910206648,0.226111879057,11.6754796112
mixing- 2 step,0.0376224344804,0.0200821542543,0.145722565057,,0.0246321995096,0.00619113311358,0.402380548474,,0.0126803885435,0.0015213195359,0.185629247846,,0.00456853989645,0.0391669534927,0.829633110666,,0.0775087648741,0.000809282965348,0.690319758585,,0.321535041686,0.112144127544,2.1820624907
